No,食品名,量(g),カロリー(kcal) ,タンパク質(g),脂質(g),炭水化物(g)
3515,キウイクッキー,18.5,48,0.67,2.53,5.23
3516,メロンパンアイス,256.6,590,13.14,19.94,87.81
3517,さくらんぼパフェ,218,440,7,20.06,58.97
3518,いちじくパフェ,218,438,6.74,19.99,58.38
3519,アボカドアイス,201,422,7.38,30.11,31.56
3520,かぼちゃチーズケーキ,141.8,415,5.64,28.62,33.08
3521,ずんだアイス,201,402,11.06,25.1,32.6
3522,とうもろこしアイス,201,386,7.82,23.3,35.8
3523,さくらんぼタルト,164.9,379,6.35,20.5,42.86
3524,メロンケーキ,147.3,379,4.92,25.34,32.24
3525,さくらんぼアイス,201,378,6.61,22.65,36.12
3526,ぶどうアイス,201,372,6.53,22.65,35.36
3527,洋梨アイス,201,370,6.49,22.65,34.83
3528,いちじくアイス,201,370,6.61,22.65,34.79
3529,パイナップルアイス,201,368,6.61,22.65,34.43
3530,梅干アイス,181,367,6.68,22.73,33.3
3531,ゆずアイス,200,366,6.76,22.76,33.54
3532,梨アイス,201,366,6.49,22.65,33.61
3533,みかんアイス,201,366,6.65,22.65,33.69
3534,パパイヤアイス,201,364,6.57,22.69,32.88
3535,グレープフルーツアイス,201,364,6.73,22.65,32.92
3536,トマトアイス,243.5,363,6.96,22.69,32.97
3537,いちごレアチーズケーキ ,130.5,361,5.23,28.53,20.01
3538,レモンアイス,201,358,6.53,22.69,32.52
3539,かぼちゃタルト,126.7,355,5.11,17.21,43.72
3540,パイナップルタルト,133.8,343,5.04,15.68,44.43
3541,オレンジアイス,158,341,4.01,23.78,27.59
3542,豆乳アイス,171,333,7.01,21.2,27.86
3543,パイナップルパイ,122.5,281,4.81,14.14,32.44
3544,パイナップルケーキ,134.4,249,3.41,9.88,36.61
3545,プルーンケーキ,114.3,239,3.06,11.69,29.99
3546,かぼちゃパウンドケーキ,83.3,236,3.25,11.73,28.85
3547,レモンケーキ,71.3,226,2.74,9.07,33.36
3548,さくらんぼケーキ,76.5,223,2.87,11.68,25.88
3549,パイナップルプリン,150.5,202,4.59,12.09,18.75
3550,スイカフラッペ ,477,196,1.48,0.24,50.51
3551,アボカドチーズ,91,194,6.07,17.77,4.87
3552,じゃがいもおやき,149.2,175,2.89,4.3,30.74
3553,ライチシャーベット,120,133,0.52,0.05,34.45
3554,ぶどうシャーベット,120,131,0.22,0.05,34.09
3555,いちじくシャーベット,120,128,0.31,0.05,33.35
3556,洋梨シャーベット,120,128,0.16,0.05,33.41
3557,パイナップルシャーベット,120,127,0.31,0.05,32.88
3558,プルーンヨーグルト,226,124,4.47,3.12,20.77
3559,みかんシャーベット,120,124,0.37,0.05,31.9
3560,梨シャーベット,120,122,0.16,0.05,31.79
3561,メロンかき氷,338,118,1.32,0.14,30.22
3562,いちごシャーベット,120,118,0.47,0.05,30.34
3563,とうもろこしプリン,120.3,117,4.7,3.36,17.58
3564,梅シャーベット,120,101,3.52,4.03,13.07
3565,洋梨ゼリー,150,93,1.82,0.09,22.85
3566,ホワイトチョコレート,100,588,7.2,39.5,50.9
3567,ポテトチップス,100,554,4.7,35.2,54.7
3568,成形ポテトチップス,100,540,5.8,32,57.3
3569,スフォリアテッラ,172.2,532,9.97,26.97,58.03
3570,小倉パフェ,205,525,9.16,20.21,76.38
3571,チーズドック,166,521,14.81,28.39,50.03
3572,干し柿アイス ,200,446,6.74,22.74,55.66
3573,柿ショートケーキ,158.8,394,4.65,25.39,36.52
3574,ミルクフランス,125.4,393,7.39,17.13,50.15
3575,柿アイス,200,366,6.3,22.14,35.26
3576,洋梨タルト,140,363,5.94,20.43,38.86
3577,柿タルト,151.8,357,5.04,15.76,48.23
3578,ウインナークロワッサン,89.8,317,6.14,22.94,19.46
3579,柿パイ,137.5,293,4.79,14.2,35.83
3580,アーモンドクロワッサン,73.9,287,5,18.33,24.95
3581,チョコメロンパン,84.1,283,6.78,6.49,48.28
3582,洋梨パイ,114.4,277,4.67,14.13,31.67
3583,いちじくロールケーキ,114.8,259,5.09,17.19,20.7
3584,干し柿パウンドケーキ,68.8,257,2.9,11.94,35.24
3585,バターどら焼き,73.4,247,4.05,11.28,30.91
3586,洋梨パウンドケーキ,83.2,225,2.72,11.66,26.64
3587,さくらんぼケーキ,76.5,223,2.87,11.68,25.88
3588,抹茶クロワッサン,60.8,216,3.97,13.67,17.71
3589,かぼすパウンドケーキ,65.9,210,2.68,11.65,23.38
3590,チョコクロワッサン,62.7,209,3.86,11.49,20.59
3591,ずんだ大福,87.3,200,4.65,1.68,41.02
3592,干し柿プリン,121,196,5.9,5.61,32.88
3593,かりんコンポート,234.2,194,0.73,0.19,49.11
3594,干し柿バター,49,191,0.63,10.35,26.4
3595,干し柿チョコ,52,186,1.6,5.75,34.75
3596,カヌレ,83.6,184,3.1,7.2,25.29
3597,パンオショコラ,54.875,181,3.73,6.08,26.8
3598,柿のコンポート,225.2,176,0.7,0.34,43.49
3599,豆腐ドーナツ,51.8,167,2.93,7.34,20.1
3600,干し柿ヨーグルト,137,164,4.16,3.63,31.28
3601,干し柿チーズ,55,164,2.04,6.57,26.79
3602,干し柿カマンベールチーズ,53.6,153,3.73,4.73,26.53
3603,りんごヨーグルト,227.5,132,3.87,3.14,23.52
3604,柿シャーベット,120,131,0.22,0.1,34.19
3605,干し柿コンポート,60.1,129,0.58,0.64,32.26
3606,柿ヨーグルト,183,112,3.93,3.17,18.1
3607,たまごドーナツ,30.8,108,2.05,5.38,12.41
3608,柿バター,33,108,0.14,9.76,4.98
3609,柿プリン,109,107,4.72,4.14,13.24
3610,ライチゼリー,150,107,2.18,0.09,26.01
3611,柿ゼリー,150,98,1.88,0.17,23.99
3612,梅の甘露煮,73.1,70,0.15,0.11,18.23
3613,干し柿クッキー,19.05,69,0.72,2.68,10.66
3614,南部せんべい胡麻入り,15,65,1.68,1.62,10.85
3615,南部せんべいピーナッツ入り,15,64,1.76,1.44,11.07
3616,パイシート,451.5,1851,20.59,125.02,147.82
3617,草大福,96,229,4.38,0.44,51.9
3618,キャラメル,50,217,2,5.85,38.95
3619,桜餅,40,96,1.8,0.16,21.72
3620,わたあめ,20,77,0,0,20
3621,ピーナッツチョコ,4.3,24,0.48,1.61,2.03
3622,グミ,16.25,21,1.14,0.03,4.29
