No,食品名,量(g),カロリー(kcal) ,タンパク質(g),脂質(g),炭水化物(g)
2768,牡蠣のアヒージョ,139.6,295,6.9,25.5,6.16
2769,里芋と鶏肉の煮物,401.3,293,16.05,10.67,30.06
2770,牡蠣グラタン,317.8,286,15.95,15.25,21.9
2771,イワシの蒲焼き,119.5,284,16.67,17.12,10.23
2772,鮎の塩焼き,160,229,26.74,11.86,1.36
2773,鰯の煮付け,130,225,16.67,11.13,10.56
2774,ツナじゃが,206.4,219,9.41,9.04,24.15
2775,鮭の照り焼き,131,219,19.47,6.6,14.51
2776,さつまいものサラダ,147.8,214,1.57,9.71,31.48
2777,イワシのつみれ汁,273.2,213,17.4,11.31,8.03
2778,鮭のマヨネーズ焼き,98.6,196,18.3,12.67,0.97
2779,タラのムニエル,107.2,193,14.78,11.41,6.06
2780,たら鍋,644.5,187,25.52,2.9,14.18
2781,ホタテのカルパッチョ,109.3,174,9.59,12.2,5.53
2782,かぼちゃのそぼろ煮,171.6,168,6.93,5.32,21.98
2783,さつまいものレモン煮,168.8,167,0.68,0.14,42.17
2784,メバルの煮付け,155,164,19.82,3.69,10
2785,大根のそぼろあんかけ,223.3,163,8.82,6.23,15.88
2786,鶏肉団子スープ,308.3,151,17.94,6.44,5.21
2787,タラのホイル焼き,118.6,146,15.11,8.36,2.19
2788,ホタテのバター焼き,102,136,16.61,4.95,5.03
2789,カワハギの煮付け,155,135,20.55,0.12,10
2790,アジの煮付け,118,133,14.9,2.4,10.07
2791,マグロ納豆,87.3,130,18.07,3.24,5.96
2792,さつまいものポタージュ ,172.3,121,2.53,3.33,20.18
2793,タラの煮付け,130,113,14.9,0.17,10.08
2794,めかぶ納豆,103,108,8.93,5.3,8.05
2795,マグロの煮付け,76.8,103,13.97,0.72,7.88
2796,なすの味噌煮,59.6,92,1.3,5.7,8.24
2797,さつまいもの甘煮,133,86,0.82,0.11,21.01
2798,牡蠣のバター焼き,77,86,4.48,5.71,3.87
2799,鶏手羽の甘辛煮,48,86,5.77,4.39,3.9
2800,卵の味噌汁,204,78,5.37,3.47,5.22
2801,牛肉とごぼうのしぐれ煮,59.4,77,3.69,4.31,4.74
2802,すっぽんスープ,160,70,4.83,3.9,0.86
2803,はまぐりの酒蒸し,134.5,58,7.79,0.61,3.09
2804,牡蠣の酒蒸し,90.5,57,5.44,1.13,4.3
2805,里芋の味噌汁,212,53,2.25,0.4,10.26
2806,大根と油揚げの味噌汁,210.75,53,2.49,1.64,6.55
2807,牡蠣の佃煮,59.5,47,3.01,0.57,5.68
2808,味噌おでん,67,45,0.74,0.21,9.41
2809,ほうれん草の味噌汁,226,42,2.83,0.59,6.69
2810,雷こんにゃく,89.9,41,0.47,2.09,5.12
2811,なすの味噌汁,196,37,1.9,0.37,6.25
2812,あおさの味噌汁,175,35,2.29,0.39,6.28
2813,あさりのお吸い物,185.5,30,4.25,0.2,0.98
2814,豆腐お好み焼き,365.8,578,24.87,29.59,49.97
2815,じゃがいもと豚肉の炒めもの,205,568,15.7,46.72,16.28
2816,豆乳グラタン,321,465,23.79,22.08,39.8
2817,豆腐の肉巻き,189,406,16.01,31,10.96
2818,ごぼう肉巻き,169,287,18.93,13.77,18.94
2819,牡蠣グラタン,317.8,286,15.95,15.25,21.9
2820,アボカド生ハム,130.2,280,16.17,23.06,4.77
2821,いんげん肉巻き,89,265,6.92,19.89,10.36
2822,豆乳シチュー,291.2,259,13.98,14.47,17.91
2823,さんま煮付け,147.5,249,13.56,16.99,6.28
2824,じゃがいもの照り焼き,184.5,242,3.6,6.14,40.53
2825,ちくわ蒲焼き,129.5,220,11.81,7.8,21.82
2826,パプリカ肉詰め,129.75,189,12.09,9.04,12.72
2827,アボカド肉巻き,59,166,3.85,15.52,3.29
2828,アボカド刺身 ,79,143,2.31,13.4,6.14
2829,トマトのピクルス,163,124,1.14,0.1,30.42
2830,肉巻きポテト,46,119,3.32,8.95,5.22
2831,トマトのコンポート,224.2,108,1.19,0.18,24.84
2832,さやえんどう卵とじ,157,105,7.93,4.74,7.93
2833,ズッキーニの肉巻き,49,105,3.3,9,1.82
2834,おでんトマト,416,104,2.91,0.17,18.26
2835,オクラ肉巻き,29,84,2.45,7.24,1.62
2836,みょうが肉巻き,32.4,83,2.36,7.23,1.28
2837,ししとう肉巻き,23.4,82,2.33,7.24,1.21
2838,トマトのおひたし,366,81,4.14,0.18,16.47
2839,パプリカきんぴら,61.3,79,1.08,5.35,5.81
2840,いんげんのナムル,66,73,1.59,6.05,3.46
2841,ピーマンナムル,66,72,1.14,6.1,3.46
2842,きゅうりナムル,66,68,1.19,6.05,2.41
2843,ズッキーニのナムル,66,68,1.34,6.05,2.31
2844,つるむらさきナムル,66,68,1.04,6.1,2.21
2845,ちくわチーズ,39,67,5.7,2.94,4.17
2846,豆乳味噌汁,222,65,4.66,1.71,8.9
2847,ちくわきんぴら,38.75,64,3.94,2.63,5.61
2848,トマトの肉巻き,28.4,64,2.78,4.92,1.64
2849,トマトスープ,253.25,63,2.23,2.33,9.7
2850,ちくわの甘辛煮,48,59,4.18,0.61,7.95
2851,パプリカピクルス,145.7,44,1.06,0.22,8.47
2852,冬瓜の味噌汁,222,39,1.89,0.4,6.93
2853,つるむらさき味噌汁,202,35,1.86,0.42,5.82
2854,レタス味噌汁,202,35,1.82,0.38,5.88
2855,さやえんどう味噌汁,182,35,1.95,0.38,5.79
2856,みょうが味噌汁,186,33,1.77,0.37,5.39
2857,ゴーヤのピクルス,141.7,30,1.12,0.11,5.19
2858,みょうがピクルス,151.7,27,1.11,0.14,4.16
2859,インゲンおひたし,85.7,25,2.17,0.11,4.01
2860,ピーマンおひたし,78.2,23,1.94,0.17,3.61
2861,つるむらさきおひたし,101.2,22,2,0.22,2.91
2862,なすおひたし,64,21,1.88,0.12,2.97
2863,オクラおひたし,55.7,20,1.72,0.11,2.93
2864,ガーリックチキン,332.8,682,50.42,48.09,4.69
2865,なすグラタン,301.7,356,15.09,15.39,38.1
2866,大葉卵焼き,147,330,14.92,24.36,9.58
2867,ガーリックシュリンプ,154.2,316,27.45,20.94,1.74
2868,ズッキーニオムレツ,233.5,308,16.11,24.49,3.5
2869,かぼちゃキッシュ,153.5,305,5.86,17.94,28.54
2870,里芋グラタン,282,302,13.87,16.36,26.51
2871,かぼちゃのニョッキ,116,283,6.67,15.37,27.72
2872,なす肉詰め,199.2,259,9.72,18.57,12.19
2873,じゃがいもチーズ,172.5,228,10.38,9.52,24.56
2874,ポテトクリーム,186.1,218,3.5,11.24,25.66
2875,じゃがいも味噌炒め,183.5,217,3.71,2.51,43.91
2876,パパイヤチャンプルー,185.1,215,8.46,15.34,10.24
2877,かぼちゃチーズ,137.5,215,10.12,9.69,21.41
2878,かぼちゃバター焼き,113.5,182,2.02,10.04,20.96
2879,しいたけの肉詰め,140.5,177,14.27,10.2,7.42
2880,大葉ジェノベーゼ,50.2,174,1.7,17.59,2.79
2881,じゃがいもそぼろ煮,168.5,174,6.32,6.87,20.1
2882,じゃがいも煮っころがし,196.3,169,3.08,0.14,36.12
2883,かぼちゃガーリック,110,153,2.21,6.37,21.73
2884,里芋そぼろ煮,168.5,147,6.82,5.17,16.73
2885,じゃがいもガレット,140.5,142,2.21,4.17,24.1
2886,柿の白和え,152.3,140,6.75,6.9,14.32
2887,ズッキーニチーズ,137.5,138,9.52,9.49,3.62
2888,冬瓜そぼろ煮,173.5,128,5.52,6.87,9.94
2889,生ハム柿,113,124,7.53,5.15,13.35
2890,パプリカムース,89.7,123,1.77,11.4,2.95
2891,いんげん白和え,147,121,7.42,6.84,8.07
2892,桃のスープ,202.7,111,4.26,3.63,16.24
2893,ごぼう甘辛煮,95,97,2.49,1.15,17.21
2894,枝豆ペペロンチーノ,58,96,6.26,5.37,6.1
2895,いんげんピーナッツ和え,59,87,3.73,5.17,7.45
2896,里芋ポタージュ,172,83,2.68,3.27,10.97
2897,冬瓜中華スープ,201.7,77,4.88,4.16,4.74
2898,冬瓜あんかけ,149,76,0.86,3.08,10.44
2899,ごぼうポタージュ,148.6,76,2.47,3.31,9.09
2900,ニンニクの芽炒め,55.8,61,0.98,4.17,5.5
2901,ピーマンおかか炒め,64,54,3.2,3.2,3.27
2902,ズッキーニマリネ,67.9,48,0.71,3.08,4.39
2903,きくらげの佃煮,75.05,48,1.05,0.11,9.95
2904,オクラ胡麻和え,40,47,1.75,2.4,5.59
2905,ししとう甘辛炒め,25.5,47,0.53,3.05,3.95
2906,いんげん炒め,35.5,46,0.59,4.06,1.87
2907,ししとう煮浸し,39.5,46,0.69,3.05,3.29
2908,いんげんのきんぴら,38.75,38,0.82,2.06,3.09
2909,ししとう焼き,38,30,1.03,2.09,2.32
2910,ズッキーニピクルス,141.7,28,1.42,0.11,4.1
2911,ピーマンおひたし,78.2,23,1.94,0.17,3.61
2912,オクラおかか和え,34.5,16,2,0.11,2.29
2913,ピーマンおかか和え,47.5,15,1.59,0.1,2.21
2914,生ハムユッケ丼,412,717,22.54,19.57,105.64
2915,チーズダッカルビ,486.2,710,39.14,39.97,41.76
2916,太刀魚塩焼き,263,692,42.9,54.34,0
2917,サムギョプサル,169,691,21.36,63.92,0.32
2918,豚肉プルコギ,355.5,572,18.66,40.6,29.47
